Cell.01	Cell.02	Cell.03	Cell.04	Cell.05	Cell.06	Cell.07	Cell.08	Cell.09	Cell.10	Cell.11	Cell.12	Cell.13	Cell.14	Cell.15	Cell.16	Cell.17	Cell.18	Cell.19	Cell.20
GeneID1	54	44	49	44	61	0	0	0	0	0	2	3	1	4	0	0	0	0	0	0
GeneID2	51	39	55	49	53	0	0	0	0	0	2	1	0	2	3	0	0	0	0	0
GeneID3	50	29	65	60	55	0	0	0	0	0	0	4	0	2	3	0	0	0	0	0
GeneID4	39	52	41	58	51	0	0	0	0	0	1	6	2	3	3	0	0	0	0	0
GeneID5	33	56	49	45	48	0	0	0	0	0	0	3	5	0	2	0	0	0	0	0
GeneID6	52	50	49	40	54	0	0	0	0	0	3	1	4	1	4	0	0	0	0	0
GeneID7	36	54	55	53	46	0	0	0	0	0	2	1	2	2	2	0	0	0	0	0
GeneID8	41	45	51	47	59	0	0	0	0	0	3	0	2	3	3	0	0	0	0	0
GeneID9	48	51	57	62	43	0	0	0	0	0	3	1	4	1	0	0	0	0	0	0
GeneID10	37	59	59	62	51	0	0	0	0	0	2	1	2	0	1	0	0	0	0	0
GeneID11	53	50	62	49	62	0	0	0	0	0	0	3	5	1	0	0	0	0	0	0
GeneID12	48	40	53	45	52	0	0	0	0	0	3	4	0	3	2	0	0	0	0	0
GeneID13	52	41	53	59	54	0	0	0	0	0	1	2	2	2	3	0	0	0	0	0
GeneID14	44	49	48	45	54	0	0	0	0	0	2	2	1	1	3	0	0	0	0	0
GeneID15	49	43	44	61	45	0	0	0	0	0	4	1	1	2	2	0	0	0	0	0
GeneID16	51	62	50	42	47	0	0	0	0	0	0	3	2	2	1	0	0	0	0	0
GeneID17	46	42	48	58	50	0	0	0	0	0	2	2	2	3	3	0	0	0	0	0
GeneID18	44	62	39	62	51	0	0	0	0	0	2	3	6	3	0	0	0	0	0	0
GeneID19	53	40	47	48	60	0	0	0	0	0	1	0	1	2	2	0	0	0	0	0
GeneID20	46	58	53	65	47	0	0	0	0	0	4	1	3	3	1	0	0	0	0	0
GeneID21	46	55	65	48	57	0	0	0	0	0	3	1	1	2	3	0	0	0	0	0
GeneID22	52	46	64	52	46	0	0	0	0	0	2	1	4	2	4	0	0	0	0	0
GeneID23	45	57	38	54	45	0	0	0	0	0	2	1	1	4	0	0	0	0	0	0
GeneID24	45	58	42	52	59	0	0	0	0	0	1	2	5	2	1	0	0	0	0	0
GeneID25	41	46	49	69	48	0	0	0	0	0	3	1	1	1	2	0	0	0	0	0
GeneID26	55	58	49	46	50	0	0	0	0	0	2	3	3	5	1	0	0	0	0	0
GeneID27	61	43	46	58	49	0	0	0	0	0	4	1	2	1	5	0	0	0	0	0
GeneID28	51	49	51	53	44	0	0	0	0	0	0	3	2	2	4	0	0	0	0	0
GeneID29	42	48	45	50	41	0	0	0	0	0	2	2	1	1	3	0	0	0	0	0
GeneID30	54	54	40	63	52	0	0	0	0	0	0	3	2	3	2	0	0	0	0	0
GeneID31	58	47	48	51	50	0	0	0	0	0	1	0	0	2	3	0	0	0	0	0
GeneID32	44	46	45	43	63	0	0	0	0	0	1	0	3	1	3	0	0	0	0	0
