SampleID,CellType,RNA_ID,CpG_level,CpG_meth,CpG_nonmeth,GpC_level,GpC_meth,GpC_nonmeth
Cell.01,CellType.A,Cell.01,Cell.01.level,Cell.01.meth,Cell.01.nonmeth,Cell.01.level,Cell.01.meth,Cell.01.nonmeth
Cell.02,CellType.A,Cell.02,Cell.02.level,Cell.02.meth,Cell.02.nonmeth,Cell.02.level,Cell.02.meth,Cell.02.nonmeth
Cell.03,CellType.A,Cell.03,Cell.03.level,Cell.03.meth,Cell.03.nonmeth,Cell.03.level,Cell.03.meth,Cell.03.nonmeth
Cell.04,CellType.A,Cell.04,Cell.04.level,Cell.04.meth,Cell.04.nonmeth,Cell.04.level,Cell.04.meth,Cell.04.nonmeth
Cell.05,CellType.A,Cell.05,Cell.05.level,Cell.05.meth,Cell.05.nonmeth,Cell.05.level,Cell.05.meth,Cell.05.nonmeth
Cell.06,CellType.A,Cell.06,Cell.06.level,Cell.06.meth,Cell.06.nonmeth,Cell.06.level,Cell.06.meth,Cell.06.nonmeth
Cell.07,CellType.A,Cell.07,Cell.07.level,Cell.07.meth,Cell.07.nonmeth,Cell.07.level,Cell.07.meth,Cell.07.nonmeth
Cell.08,CellType.A,Cell.08,Cell.08.level,Cell.08.meth,Cell.08.nonmeth,Cell.08.level,Cell.08.meth,Cell.08.nonmeth
Cell.09,CellType.A,Cell.09,Cell.09.level,Cell.09.meth,Cell.09.nonmeth,Cell.09.level,Cell.09.meth,Cell.09.nonmeth
Cell.10,CellType.A,Cell.10,Cell.10.level,Cell.10.meth,Cell.10.nonmeth,Cell.10.level,Cell.10.meth,Cell.10.nonmeth
Cell.11,CellType.B,Cell.11,Cell.11.level,Cell.11.meth,Cell.11.nonmeth,Cell.11.level,Cell.11.meth,Cell.11.nonmeth
Cell.12,CellType.B,Cell.12,Cell.12.level,Cell.12.meth,Cell.12.nonmeth,Cell.12.level,Cell.12.meth,Cell.12.nonmeth
Cell.13,CellType.B,Cell.13,Cell.13.level,Cell.13.meth,Cell.13.nonmeth,Cell.13.level,Cell.13.meth,Cell.13.nonmeth
Cell.14,CellType.B,Cell.14,Cell.14.level,Cell.14.meth,Cell.14.nonmeth,Cell.14.level,Cell.14.meth,Cell.14.nonmeth
Cell.15,CellType.B,Cell.15,Cell.15.level,Cell.15.meth,Cell.15.nonmeth,Cell.15.level,Cell.15.meth,Cell.15.nonmeth
Cell.16,CellType.B,Cell.16,Cell.16.level,Cell.16.meth,Cell.16.nonmeth,Cell.16.level,Cell.16.meth,Cell.16.nonmeth
Cell.17,CellType.B,Cell.17,Cell.17.level,Cell.17.meth,Cell.17.nonmeth,Cell.17.level,Cell.17.meth,Cell.17.nonmeth
Cell.18,CellType.B,Cell.18,Cell.18.level,Cell.18.meth,Cell.18.nonmeth,Cell.18.level,Cell.18.meth,Cell.18.nonmeth
Cell.19,CellType.B,Cell.19,Cell.19.level,Cell.19.meth,Cell.19.nonmeth,Cell.19.level,Cell.19.meth,Cell.19.nonmeth
Cell.20,CellType.B,Cell.20,Cell.20.level,Cell.20.meth,Cell.20.nonmeth,Cell.20.level,Cell.20.meth,Cell.20.nonmeth
